id	syndrome	syndrome_id	livre	chapitre	organe_llm	attribution	signe	verbatim	cand1	cand2	cand3	choix
667	A Trisomy 13 Syndrome (Patau Syndrome)	ORPHA:3378	perineuro	s5_genetic_syndromes	subcortical white matter	direct	nests of heterotopic neurons in the subcortical white matter	nests of heterotopic neurons in the subcortical white matter, focal disorganization of the cerebellar cortex, most prominent in the vermis	FOETO:PF.CER-MET-059 | Hétérotopie sous-corticale | cerveau | 0.9	FOETO:PF.CER-MAL-212 | Neurones hétérotopiques dans la substance blanche | cerveau | 0.9	FOETO:PF.CER-MAL-163 | Hétérotopie de la substance blanche (neurones isolés) | cerveau | 0.72	FOETO:PF.CER-MAL-212
668	A Trisomy 13 Syndrome (Patau Syndrome)	ORPHA:3378	perineuro	s5_genetic_syndromes	cerebellar cortex	direct	focal disorganization of the cerebellar cortex	nests of heterotopic neurons in the subcortical white matter, focal disorganization of the cerebellar cortex, most prominent in the vermis	FOETO:PF.CER-MAL-098 | Désorganisation du cortex cérébelleux | cerveau | 0.9	FOETO:PF.CER-MAL-099 | Désorganisation focale du cortex cérébelleux | cerveau | 0.9	FOETO:PF.CER-MET-059 | Hétérotopie sous-corticale | cerveau | 0.7	FOETO:PF.CER-MAL-099
669	A Trisomy 13 Syndrome (Patau Syndrome)	ORPHA:3378	perineuro	s5_genetic_syndromes	cochlear nucleus	direct	massive nests of germinal cells in the cochlear nucleus	Massive nests of germinal cells were also found in the cochlear nucleus				NOUVEAU
670	A Trisomy 13 Syndrome (Patau Syndrome)	ORPHA:3378	perineuro	s5_genetic_syndromes	retina	direct	retinal dysplasia	Eye pathology includes poorly developed optic nerves, misshaped lens, retinal dysplasia, and partial detachment, retinal rosettes	FOETO:PF.ORL-MAL-014 | Décollement de rétine | oeil_oreille | 0.7	FOETO:PF.ORL-MAL-026 | Pli rétinien falciforme congénital | oeil_oreille | 0.5	FOETO:PF.ORL-MAL-017 | Gliose rétinienne | oeil_oreille | 0.5	FOETO:PF.CER-MAL-083
671	A Trisomy 13 Syndrome (Patau Syndrome)	ORPHA:3378	perineuro	s5_genetic_syndromes	retina	direct	retinal rosettes	Eye pathology includes poorly developed optic nerves, misshaped lens, retinal dysplasia, and partial detachment, retinal rosettes, poorly defined canal of Schlemm	FOETO:PF.ORL-MAL-014 | Décollement de rétine | oeil_oreille | 0.7			NOUVEAU
646	A Trisomy 13 Syndrome (Patau Syndrome)	ORPHA:3378	verdijk	ch03_artifacts	retina	direct	Retinal rosettes	Retinal rosettes in a fetus (13 WoG) with trisomy 13 (H&E stain, 400×)				FOETO:PF.CER-MAL-083
647	A Trisomy 13 Syndrome (Patau Syndrome)	ORPHA:3378	verdijk	ch03_artifacts	retina	direct	Knob-like retinal excrescences	Knob-like retinal excrescences (arrows) in another fetus (26 WoG) with trisomy 13 (H&E stain, 40×)				NOUVEAU
648	A Trisomy 13 Syndrome (Patau Syndrome)	ORPHA:3378	verdijk	ch03_artifacts	retina	direct	Abnormalities of the outer retinal layers	Higher magnification illustrating the abnormalities of the outer retinal layers (H&E stain, 200×)				NON
649	A Trisomy 13 Syndrome (Patau Syndrome)	ORPHA:3378	verdijk	ch04_syndromic_anomalies	eye	direct	Dysplastic retina with calcifications	Dysplastic retina with calcifications (H&E stain, 25×)	FOETO:PP.PAR-MET-004 | Calcifications | parenchyme | 1.0			FOETO:PF.CER-MAL-083
650	A Trisomy 13 Syndrome (Patau Syndrome)	ORPHA:3378	verdijk	ch04_syndromic_anomalies	eye	direct	Persistent hyperplastic primary vitreous with chondroid metaplasia	Persistent hyperplastic primary vitreous (PHPV) with chondroid metaplasia	FOETO:PF.ORL-MAL-032 | Vitré hyperplasique primitif persistant (PHPV) | oeil_oreille | 0.8			FOETO:PF.ORL-MAL-032
651	A Trisomy 13 Syndrome (Patau Syndrome)	ORPHA:3378	verdijk	ch04_syndromic_anomalies	eye	direct	Coloboma of the ciliary body	There is a coloboma of the ciliary body in continuity with the PHPV	FOETO:PF.ORL-MAL-009 | Colobome irien (défaut de fermeture de la fissure optique) | oeil_oreille | 0.5	FOETO:PF.ORL-MAL-010 | Colobome oculaire | oeil_oreille | 0.5		FOETO:PF.ORL-MAL-010
652	A Trisomy 13 Syndrome (Patau Syndrome)	ORPHA:3378	verdijk	ch04_syndromic_anomalies	eye	direct	Anterior segment developmental anomaly	Anterior segment developmental anomaly (H&E stain, 100×)	FOETO:PF.ORL-MAL-013 | Dysgenèse du segment antérieur | oeil_oreille | 0.6			FOETO:PF.ORL-MAL-013
653	A Trisomy 13 Syndrome (Patau Syndrome)	ORPHA:3378	verdijk	ch04_syndromic_anomalies	eye	direct	Cataractous lens	Cataractous lens (H&E stain, 100×)	FOETO:PF.MUL-MET-004 | Accumulation de galactitol dans le cristallin | multi_organe | 0.5	FOETO:PF.ORL-MAL-005 | Cataracte congénitale | oeil_oreille | 0.5		FOETO:PF.ORL-MAL-005
654	A Trisomy 13 Syndrome (Patau Syndrome)	ORPHA:3378	verdijk	ch04_syndromic_anomalies	eye	direct	Dysplastic retina with abnormal fibrovascular tissue	The retina is dysplastic and there is a coloboma of the ciliary body with abnormal fibrovascular tissue				FOETO:PF.CER-MAL-083
655	A Trisomy 13 Syndrome (Patau Syndrome)	ORPHA:3378	verdijk	ch05_sporadic_anomalies	eye	direct	Microphthalmic eye with coloboma of the iris and ciliary body	Microphthalmic eye with coloboma of the iris and ciliary body. A cataract was also present (H&E stain, 25×)	FOETO:PF.ORL-MAL-009 | Colobome irien (défaut de fermeture de la fissure optique) | oeil_oreille | 0.5	FOETO:PF.ORL-MAL-010 | Colobome oculaire | oeil_oreille | 0.5		FOETO:PF.ORL-MAL-010
656	A Trisomy 13 Syndrome (Patau Syndrome)	ORPHA:3378	verdijk	ch05_sporadic_anomalies	eye	contexte	High-magnification image of the coloboma	High-magnification image of the coloboma (H&E stain, 100×)	FOETO:PF.ORL-MAL-009 | Colobome irien (défaut de fermeture de la fissure optique) | oeil_oreille | 0.5	FOETO:PF.ORL-MAL-010 | Colobome oculaire | oeil_oreille | 0.5		NON
152	A Trisomy 18 Syndrome	ORPHA:3380	devneuro	ch15_cerebellar	dentate nucleus	direct	Dysplasia of dentate nucleus	Dysplasia of dentate nucleus in a full-term infant with trisomy 18.	FOETO:PF.CER-MAL-077 | Dysplasie du noyau dentelé | cerveau | 0.9	FOETO:PF.CER-MET-031 | Dysplasie du noyau dentelé du cervelet | cerveau | 0.68	FOETO:PF.MUL-MET-045 | Atteinte des noyaux dentelés du cervelet | multi_organe | 0.6	FOETO:PF.CER-MAL-077
153	A Trisomy 18 Syndrome	ORPHA:3380	devneuro	ch15_cerebellar	dentate nucleus	direct	Fragmented structure into several islands of gray matter	The structure is fragmented into several islands of gray matter.	FOETO:PF.CER-MAL-114 | Fragmentation du noyau dentelé en îlots | cerveau | 0.6			FOETO:PF.CER-MAL-114
126	A Trisomy 18 Syndrome	ORPHA:3380	keeling	ch22_alimentary	pancreas	direct	branching and cystically dilated duct-like structures, lined by cuboidal epithelium, surrounded by primitive mesenchyme containing pancreatic acini	The lesion is characterized by branching and cystically dilated duct-like structures, lined by cuboidal epithelium, surrounded by primitive mesenchyme containing pancreatic acini				NOUVEAU
127	A Trisomy 18 Syndrome	ORPHA:3380	keeling	ch22_alimentary	pancreas	direct	dense or immature connective tissue containing dilated and distorted ducts and sparse or absent acini and islets	In two earlier reports of trisomy 18, the pancreatic lesions comprised dense or immature connective tissue containing dilated and distorted ducts and sparse or absent acini and islets	FOETO:PF.MUL-MET-143 | Hypertrophie des cellules des îlots pancréatiques | multi_organe | 0.47			NOUVEAU
128	A Trisomy 18 Syndrome	ORPHA:3380	keeling	ch25_reproductive	gonad	direct	primary oocytes essentially absent	in trisomy 13 and trisomy 18 they are essentially absent				FOETO:PF.GEN-MAL-036
129	A Trisomy 18 Syndrome	ORPHA:3380	keeling	ch25_reproductive	gonad	direct	increased numbers of immature germ cells expressing PLAP, POU5F1 and KIT	In trisomy 18 and trisomy 21, there are increased numbers of immature germ cells expressing PLAP, POU5F1 and KIT				NOUVEAU
130	A Trisomy 18 Syndrome	ORPHA:3380	keeling	ch25_reproductive	reproductive tract	direct	paramesonephric duct fusion may be incomplete	paramesonephric duct fusion may be incomplete in trisomy 13 and trisomy 18				NON
131	A Trisomy 18 Syndrome	ORPHA:3380	keeling	ch26_endocrine	adrenal gland	direct	reduction in the width of the fetal zone	The glands show a reduction in the width of the FZ.				FOETO:PF.END-MAL-018
132	A Trisomy 18 Syndrome	ORPHA:3380	keeling	ch34_special_senses	optic nerve	direct	optic nerve hypoplasia	Trisomy 18 and cri du chat syndrome (5p deletion) result in optic nerve hypoplasia.	FOETO:PF.ORL-MAL-019 | Hypoplasie du nerf optique | oeil_oreille | 1.0	FOETO:PF.ORL-MAL-008 | Colobome du nerf optique | oeil_oreille | 0.6	FOETO:PF.ORL-MAL-004 | Aplasie du nerf optique | oeil_oreille | 0.6	FOETO:PF.ORL-MAL-019
154	A Trisomy 18 Syndrome	ORPHA:3380	perineuro	s5_genetic_syndromes	cerebellum	direct	heterotopia of the piriform Purkinje cells into the white matter of the cerebellum	The microscopic examination of the brain reveals heterotopia of the piriform Purkinje cells into the white matter (WM) of the cerebellum	FOETO:PF.CER-MAL-174 | Hétérotopie périventriculaire et de la substance blanche | cerveau | 0.68	FOETO:PF.CER-MAL-212 | Neurones hétérotopiques dans la substance blanche | cerveau | 0.68	FOETO:PF.CER-MAL-248 | Réduction de la substance blanche | cerveau | 0.6	NOUVEAU
155	A Trisomy 18 Syndrome	ORPHA:3380	perineuro	s5_genetic_syndromes	cerebrum	direct	focal non-differentiated cell formations in the cerebral white matter	The microscopic examination of the brain reveals heterotopia of the piriform Purkinje cells into the white matter (WM) of the cerebellum and focal non-differentiated cell formations in the cerebral WM	FOETO:PF.CER-MAL-112 | Formations cellulaires non différenciées dans la substance blanche cérébrale | cerveau | 0.9	FOETO:PF.MUL-MET-187 | Leucoencéphalopathie de la substance blanche | multi_organe | 0.68	FOETO:PF.MUL-MET-105 | Démyélinisation de la substance blanche cérébrale | multi_organe | 0.68	FOETO:PF.CER-MAL-112
156	A Trisomy 18 Syndrome	ORPHA:3380	perineuro	s5_genetic_syndromes	lateral geniculate body	direct	disorganized vertical cell layering and poor differentiation of the magno- and parvocellular layers	The lateral geniculate body shows disorganized vertical cell layering and poor differentiation of the magno- and parvocellular layers	FOETO:PF.CER-MAL-096 | Désorganisation de la stratification du corps genouillé latéral | cerveau | 0.7			FOETO:PF.CER-MAL-096
157	A Trisomy 18 Syndrome	ORPHA:3380	perineuro	s5_genetic_syndromes	inferior olivary nucleus	direct	thick dorsal lip without the normal undulation	The inferior olivary nucleus presents with a thick dorsal lip without the normal undulation	FOETO:PF.CER-MAL-219 | Noyau olivaire inférieur — lèvre dorsale épaissie sans undulation | cerveau | 0.6	FOETO:PF.CER-MAL-078 | Dysplasie du noyau olivaire inférieur | cerveau | 0.52	FOETO:PF.CER-MAL-165 | Hétérotopie des noyaux olivaires inférieurs | cerveau | 0.52	FOETO:PF.CER-MAL-219
158	A Trisomy 18 Syndrome	ORPHA:3380	perineuro	s5_genetic_syndromes	leptomeninges	direct	ectopic glial tissue in the leptomeninges	Ectopic glial tissue in the leptomeninges may also be found	FOETO:PF.CER-MAL-268 | Tissu glial ectopique leptoméningé | cerveau | 0.9	FOETO:PF.CER-MAL-272 | Tissu neuroglial leptoméningé ectopique | cerveau | 0.6		FOETO:PF.CER-MAL-268
134	A Trisomy 18 Syndrome	ORPHA:3380	verdijk	ch04_syndromic_anomalies	retina	direct	Retinal excrescences	In three of our cases, cases of trisomy 13, 17 and 18 retinal excrescences have been observed				NOUVEAU
135	A Trisomy 18 Syndrome	ORPHA:3380	verdijk	ch04_syndromic_anomalies	retina	direct	Retinal dysplasia	Further abnormalities comprise an irregular development of the chamber angle, iris and ciliary body anomalies... retinal dysplasia and folds	FOETO:PF.ORL-MAL-026 | Pli rétinien falciforme congénital | oeil_oreille | 0.5	FOETO:PF.ORL-MAL-017 | Gliose rétinienne | oeil_oreille | 0.5		FOETO:PF.CER-MAL-083
136	A Trisomy 18 Syndrome	ORPHA:3380	verdijk	ch04_syndromic_anomalies	retina	direct	Retinal folds	Further abnormalities comprise an irregular development of the chamber angle, iris and ciliary body anomalies... retinal dysplasia and folds				NOUVEAU
137	A Trisomy 18 Syndrome	ORPHA:3380	verdijk	ch04_syndromic_anomalies	choroid and retina	direct	Chorioretinal lesions	Further abnormalities comprise an irregular development of the chamber angle, iris and ciliary body anomalies... chorioretinal lesions				NON
138	A Trisomy 18 Syndrome	ORPHA:3380	verdijk	ch04_syndromic_anomalies	eye	direct	Persistent hyaloid artery	Further abnormalities comprise an irregular development of the chamber angle, iris and ciliary body anomalies... a persistent hyaloid artery				NOUVEAU
139	A Trisomy 18 Syndrome	ORPHA:3380	verdijk	ch04_syndromic_anomalies	optic nerve	direct	Optic nerve coloboma	Further abnormalities comprise an irregular development of the chamber angle, iris and ciliary body anomalies... optic nerve coloboma and hypoplasia	FOETO:PF.ORL-MAL-008 | Colobome du nerf optique | oeil_oreille | 1.0	FOETO:PF.ORL-MAL-018 | Hypoplasie de l'iris | oeil_oreille | 0.7	FOETO:PF.ORL-MAL-019 | Hypoplasie du nerf optique | oeil_oreille | 0.7	FOETO:PF.ORL-MAL-008
140	A Trisomy 18 Syndrome	ORPHA:3380	verdijk	ch04_syndromic_anomalies	optic nerve	direct	Optic nerve hypoplasia	Further abnormalities comprise an irregular development of the chamber angle, iris and ciliary body anomalies... optic nerve coloboma and hypoplasia	FOETO:PF.ORL-MAL-019 | Hypoplasie du nerf optique | oeil_oreille | 1.0	FOETO:PF.ORL-MAL-008 | Colobome du nerf optique | oeil_oreille | 0.8	FOETO:PF.ORL-MAL-018 | Hypoplasie de l'iris | oeil_oreille | 0.7	FOETO:PF.ORL-MAL-019
141	A Trisomy 18 Syndrome	ORPHA:3380	verdijk	ch04_syndromic_anomalies	optic nerve head	direct	Bergmeister papilla	Further abnormalities comprise an irregular development of the chamber angle, iris and ciliary body anomalies... and Bergmeister papilla				NON
142	A Trisomy 18 Syndrome	ORPHA:3380	verdijk	ch04_syndromic_anomalies	chamber angle	direct	Irregular development of the chamber angle	Further abnormalities comprise an irregular development of the chamber angle, iris and ciliary body anomalies	FOETO:PF.PEA-MAL-014 | Anomalies des kératinosomes | peau | 0.47			NOUVEAU
143	A Trisomy 18 Syndrome	ORPHA:3380	verdijk	ch04_syndromic_anomalies	iris and ciliary body	direct	Hypoplasia of the iris/ciliary body	Further abnormalities comprise an irregular development of the chamber angle, iris and ciliary body anomalies (including hypoplasia of the iris/ciliary body	FOETO:PF.ORL-MAL-018 | Hypoplasie de l'iris | oeil_oreille | 0.9			FOETO:PF.ORL-MAL-018
144	A Trisomy 18 Syndrome	ORPHA:3380	verdijk	ch04_syndromic_anomalies	ciliary body	direct	Anomalies of the ciliary body processes	Further abnormalities comprise an irregular development of the chamber angle, iris and ciliary body anomalies... and anomalies of the ciliary body processes)				NON
145	A Trisomy 18 Syndrome	ORPHA:3380	verdijk	ch04_syndromic_anomalies	cornea	contexte	Altered corneal structures	postmortem histologic evaluation can provide further details on the chamber angle development, retinal architecture, and the altered corneal structures				NON
146	A Trisomy 18 Syndrome	ORPHA:3380	verdijk	ch04_syndromic_anomalies	retina and choroid	direct	Retinal folds and excrescences with congestion of the choroidal vessels	(c) Retinal folds and excrescences with congestion of the choroidal vessels (H&E stain, 100×)				NOUVEAU
147	A Trisomy 18 Syndrome	ORPHA:3380	verdijk	ch04_syndromic_anomalies	retina	direct	Higher magnification of the retinal excrescences	(d) Higher magnification of the retinal excrescences (H&E stain, 200×)				NON
847	C Brachmann–De Lange Syndrome  (Cornelia De Lange Syndrome, De Lange Syndrome)	ORPHA:199	devneuro	ch15_cerebellar	cerebellum	direct	cerebellar hypoplasia	Septo-optic dysplasia has also rarely been associated with cerebellar hypoplasia in the Cornelia de Lange syndrome	FOETO:PF.CER-MAL-142 | Hypoplasie cérébelleuse | cerveau | 1.0	FOETO:PF.CER-MAL-152 | Hypoplasie du vermis cérébelleux | cerveau | 0.6	FOETO:PF.CER-MAL-146 | Hypoplasie des hémisphères cérébelleux | cerveau | 0.6	FOETO:PF.CER-MAL-142
975	C Microcephalic Primordial Dwarfing Syndromes  (Majewski Osteodysplastic Primordial Dwarfism [MOPD II], Seckel Syndrome, MOPD I)	ORPHA:808	devneuro	ch04_microcephaly	cerebrum	direct	smooth cerebral mantle with a thin cortical plate with no obvious demarcation from the underlying intermediate zone	The case presented with a bird-like facies, extreme microcephaly, a smooth cerebral mantle with a thin cortical plate with no obvious demarcation from the underlying intermediate zone	FOETO:PF.CER-MAL-231 | Plaque corticale mince | cerveau | 1.0	FOETO:PF.MUL-MAL-029 | Microcéphalie | multi_organe | 0.8	FOETO:PF.CER-MAL-003 | Absence de démarcation cortex-zone intermédiaire | cerveau | 0.75	FOETO:PF.CER-MAL-231
976	C Microcephalic Primordial Dwarfing Syndromes  (Majewski Osteodysplastic Primordial Dwarfism [MOPD II], Seckel Syndrome, MOPD I)	ORPHA:808	devneuro	ch04_microcephaly	corpus callosum	direct	hypoplastic corpus callosum	hypoplastic corpus callosum, hippocampal dysplasia and cystic germinal matrix	FOETO:PF.CER-MAL-150 | Hypoplasie du corps calleux | cerveau | 0.9	FOETO:PF.CER-MAL-081 | Dysplasie hippocampique | cerveau | 0.8	FOETO:PF.MUL-MAL-002 | Agénésie ou hypoplasie du corps calleux | multi_organe | 0.68	FOETO:PF.CER-MAL-150
977	C Microcephalic Primordial Dwarfing Syndromes  (Majewski Osteodysplastic Primordial Dwarfism [MOPD II], Seckel Syndrome, MOPD I)	ORPHA:808	devneuro	ch04_microcephaly	hippocampus	direct	hippocampal dysplasia	hypoplastic corpus callosum, hippocampal dysplasia and cystic germinal matrix	FOETO:PF.CER-MAL-081 | Dysplasie hippocampique | cerveau | 1.0	FOETO:PF.CER-MAL-150 | Hypoplasie du corps calleux | cerveau | 0.7	FOETO:PF.CER-NOR-011 | Corps calleux | cerveau | 0.6	FOETO:PF.CER-MAL-081
978	C Microcephalic Primordial Dwarfing Syndromes  (Majewski Osteodysplastic Primordial Dwarfism [MOPD II], Seckel Syndrome, MOPD I)	ORPHA:808	devneuro	ch04_microcephaly	germinal matrix	direct	cystic germinal matrix	hypoplastic corpus callosum, hippocampal dysplasia and cystic germinal matrix	FOETO:PF.CER-MAL-081 | Dysplasie hippocampique | cerveau | 0.8	FOETO:PF.CER-MAL-150 | Hypoplasie du corps calleux | cerveau | 0.7	FOETO:PF.CER-NOR-011 | Corps calleux | cerveau | 0.6	NOUVEAU
979	C Microcephalic Primordial Dwarfing Syndromes  (Majewski Osteodysplastic Primordial Dwarfism [MOPD II], Seckel Syndrome, MOPD I)	ORPHA:808	devneuro	ch04_microcephaly	cerebral cortex	contexte	abnormally thin cortical plate, with absent cortical layers II and III underneath a preserved layer I	The cortical plate has been described as abnormally thin, with absent cortical layers II and III underneath a preserved layer I	FOETO:PF.CER-MAL-231 | Plaque corticale mince | cerveau | 1.0	FOETO:PF.CER-MAL-006 | Absence des couches corticales II et III | cerveau | 0.9	FOETO:PF.CER-NOR-054 | Myélinisation de la couche III corticale | cerveau | 0.6	FOETO:PF.CER-MAL-231
980	C Microcephalic Primordial Dwarfing Syndromes  (Majewski Osteodysplastic Primordial Dwarfism [MOPD II], Seckel Syndrome, MOPD I)	ORPHA:808	devneuro	ch04_microcephaly	subarachnoid space	contexte	overmigration of neuroglial nests through the pia into the subarachnoid spaces	Overmigration of neuroglial nests through the pia into the subarachnoid spaces, streaky heterotopia in the intermediate zone and clusters of immature neurons in the outer subventricular zone have also been reported	FOETO:PF.CER-MAL-022 | Amas de neurones immatures dans la zone sous-ventriculaire externe | cerveau | 0.8	FOETO:PF.CER-MAL-216 | Nids neuroglieux ectopiques sous-arachnoïdiens | cerveau | 0.72	FOETO:PF.CER-NOR-093 | Zone ventriculaire | cerveau | 0.6	FOETO:PF.CER-MAL-216
981	C Microcephalic Primordial Dwarfing Syndromes  (Majewski Osteodysplastic Primordial Dwarfism [MOPD II], Seckel Syndrome, MOPD I)	ORPHA:808	devneuro	ch04_microcephaly	intermediate zone	contexte	streaky heterotopia in the intermediate zone	Overmigration of neuroglial nests through the pia into the subarachnoid spaces, streaky heterotopia in the intermediate zone and clusters of immature neurons in the outer subventricular zone have also been reported	FOETO:PF.CER-MAL-022 | Amas de neurones immatures dans la zone sous-ventriculaire externe | cerveau | 0.8	FOETO:PF.CER-MAL-169 | Hétérotopie neuronale striée de la zone intermédiaire | cerveau | 0.72	FOETO:PF.CER-NOR-093 | Zone ventriculaire | cerveau | 0.6	FOETO:PF.CER-MAL-169
982	C Microcephalic Primordial Dwarfing Syndromes  (Majewski Osteodysplastic Primordial Dwarfism [MOPD II], Seckel Syndrome, MOPD I)	ORPHA:808	devneuro	ch04_microcephaly	subventricular zone	contexte	clusters of immature neurons in the outer subventricular zone	Overmigration of neuroglial nests through the pia into the subarachnoid spaces, streaky heterotopia in the intermediate zone and clusters of immature neurons in the outer subventricular zone have also been reported	FOETO:PF.CER-MAL-022 | Amas de neurones immatures dans la zone sous-ventriculaire externe | cerveau | 1.0	FOETO:PF.CER-NOR-094 | Zone ventriculaire / sous-ventriculaire | cerveau | 0.6	FOETO:PF.CER-NOR-093 | Zone ventriculaire | cerveau | 0.6	FOETO:PF.CER-MAL-022
309	Craniosynostosis Syndromes		keeling	ch21_respiratory	trachea	direct	solid cartilaginous sleeve	caused by a solid cartilaginous sleeve usually associated with craniosynostosis syndromes				NOUVEAU
1253	D Costello Syndrome	ORPHA:3071	genereviews	costello	heart	direct	pathologic myocardial disarray	pathologic myocardial disarray was seen in 70% of those studied				NOUVEAU
1254	D Costello Syndrome	ORPHA:3071	genereviews	costello	heart	direct	typical subaortic septal hypertrophy	Hypertrophic cardiomyopathy (HCM) comprising typical subaortic septal hypertrophy was noted in 61%	FOETO:PF.MUL-MET-053 | Cardiomyopathie | multi_organe | 0.8	FOETO:PF.MUL-MET-056 | Cardiomyopathie hypertrophique | multi_organe | 0.8	FOETO:PF.COE-MET-017 | Hypertrophie des cardiomyocytes | coeur | 0.7	FOETO:PF.MUL-MET-056
195	D Noonan Syndrome	ORPHA:648	ashworth	ch07_cardiomyopathy	myocardium	direct	Myocardial disarray	Myocardial disarray in Noonan syndrome.				NOUVEAU
192	D Noonan Syndrome	ORPHA:648	keeling	ch20_cardiovascular	heart	direct	hypertrophic cardiomyopathy	Noonan syndrome may also present with hypertrophic cardiomyopathy.	FOETO:PF.MUL-MET-053 | Cardiomyopathie | multi_organe | 1.0	FOETO:PF.MUL-MET-056 | Cardiomyopathie hypertrophique | multi_organe | 1.0	FOETO:PF.COE-MET-017 | Hypertrophie des cardiomyocytes | coeur | 0.9	FOETO:PF.MUL-MET-056
193	D Noonan Syndrome	ORPHA:648	keeling	ch20_cardiovascular	heart valves	direct	polyvalvar dysplasia	It is also associated with polyvalvar dysplasia and pulmonary stenosis [63].	FOETO:PF.COE-MAL-037 | Dysplasie polyvalvulaire | coeur | 0.9	FOETO:PF.COE-MAL-035 | Dysplasie de la valve pulmonaire (sténose pulmonaire) | coeur | 0.47		FOETO:PF.COE-MAL-037
194	D Noonan Syndrome	ORPHA:648	keeling	ch20_cardiovascular	pulmonary valve	direct	pulmonary stenosis	It is also associated with polyvalvar dysplasia and pulmonary stenosis [63].	FOETO:PF.COE-MAL-037 | Dysplasie polyvalvulaire | coeur | 0.7	FOETO:PF.COE-MAL-035 | Dysplasie de la valve pulmonaire (sténose pulmonaire) | coeur | 0.5		FOETO:PF.COE-MAL-035
198	D Opitz G/BBB Syndrome  (Hypertelorism-Hypospadias Syndrome, Opitz-Frias Syndrome,  Opitz Oculo-Genito-Laryngeal Syndrome)		keeling	ch21_respiratory	larynx	contexte	atrophic changes in the laryngeal muscles	Pathologic studies have shown atrophic changes in the laryngeal muscles, splaying of the cricoid				NON
199	D Opitz G/BBB Syndrome  (Hypertelorism-Hypospadias Syndrome, Opitz-Frias Syndrome,  Opitz Oculo-Genito-Laryngeal Syndrome)		keeling	ch21_respiratory	larynx	contexte	splaying of the cricoid	Pathologic studies have shown atrophic changes in the laryngeal muscles, splaying of the cricoid				NON
176	D Smith-Lemli-Opitz Syndrome	ORPHA:818	keeling	ch24_urinary	kidney	contexte	isolated glomerular cysts	Isolated glomerular cysts are quite common in fetal cystic kidney disease, and they should evoke consideration of RCAD syndrome or an early form of autosomal dominant polycystic kidney disease.	FOETO:PF.REN-MAL-034 | Kystes glomérulaires | rein | 1.0			FOETO:PF.REN-MAL-034
177	D Smith-Lemli-Opitz Syndrome	ORPHA:818	keeling	ch24_urinary	kidney	direct	some degree of renal dysplasia	Associated with some degree of renal dysplasia, they are present in oro-facio-digital syndrome type 1 and Smith-Lemli-Opitz syndrome.	FOETO:PF.REN-MAL-014 | Dysplasie médullaire rénale | rein | 0.6	FOETO:PF.MUL-MAL-013 | Dysplasie rénale multikystique | multi_organe | 0.6	FOETO:PF.REN-NOR-001 | Anse de Henle rare ou absente | rein | 0.5	NOUVEAU
185	D Smith-Lemli-Opitz Syndrome	ORPHA:818	soffoet	ch20_metaboliques	cristallin	direct	prolifération fibroblastique sous la capsule antérieure du cristallin	prolifération fibroblastique sous la capsule antérieure du cristallin, liquéfaction des fibres cristalliniennes sousjacentes	FOETO:PF.ORL-NOR-003 | Capsule du cristallin (antérieure et postérieure) | oeil_oreille | 0.6			NOUVEAU
186	D Smith-Lemli-Opitz Syndrome	ORPHA:818	soffoet	ch20_metaboliques	cristallin	direct	liquéfaction des fibres cristalliniennes sous-jacentes	liquéfaction des fibres cristalliniennes sousjacentes et dégénérescence ballonnisante des fibres cristalliniennes postérieures				NOUVEAU
187	D Smith-Lemli-Opitz Syndrome	ORPHA:818	soffoet	ch20_metaboliques	cristallin	direct	dégénérescence ballonnisante des fibres cristalliniennes postérieures	dégénérescence ballonnisante des fibres cristalliniennes postérieures				NOUVEAU
356	D Williams Syndrome (Williams-Beuren Syndrome)	ORPHA:904	benirschke	ch23_erythroblastosis_hydrops	arteries	direct	generalized arterial calcification	Rare cases of hydrops with generalized arterial calcification (Williams syndrome) have occurred	FOETO:PF.MUL-MET-047 | Calcifications artérielles de la média avec prolifération intimale | multi_organe | 0.5	FOETO:PP.PLA-NOR-026 | Calcifications placentaires absentes ou rares | placenta | 0.47		FOETO:PF.MUL-MET-047
349	D Williams Syndrome (Williams-Beuren Syndrome)	ORPHA:904	keeling	ch20_cardiovascular	aorta	direct	irregular thickening of the aortic wall	Supravalvar aortic stenosis is caused by irregular thickening of the aortic wall above the sino-tubular junction				NON
913	E Progeria Syndrome (Hutchinson-Gilford Syndrome)	ORPHA:740	soffoet	ch12_peau	skin	direct	thin epidermis without papillary relief	la MO montre un épiderme mince, sans relief papillaire				NOUVEAU
914	E Progeria Syndrome (Hutchinson-Gilford Syndrome)	ORPHA:740	soffoet	ch12_peau	skin	direct	thin dermis with horizontally oriented thick collagen bundles	Le derme est fin et le collagène du derme réticulaire disposé en faisceaux épais orientés horizontalement	FOETO:PF.PEA-NOR-011 | Faisceaux de collagène dermique | peau | 0.6	FOETO:PF.PEA-MAL-025 | Collagène dermique épais et hyalinisé en faisceaux horizontaux | peau | 0.6		FOETO:PF.PEA-MAL-025
915	E Progeria Syndrome (Hutchinson-Gilford Syndrome)	ORPHA:740	soffoet	ch12_peau	skin	direct	decreased elastic tissue and atrophic appendages	Le tissu élastique est diminué et les annexes sont atrophiques				NOUVEAU
916	E Progeria Syndrome (Hutchinson-Gilford Syndrome)	ORPHA:740	soffoet	ch12_peau	skin	direct	thickened hypodermis	Par contraste l’hypoderme paraît épaissi				NON
