referentiel	importance	entite	verdict	verbatim_verifie	terme_existant	label_fr	label_en	lesion	site	qualifieurs	pattern	niveau	criteres	citation	verbatim	raison
BENIRSCHKE	haute	Placentite palustre (intervillite à Plasmodium, pigment malarique / hémozoïne)	confirmee	oui		Placentite palustre (intervillite chronique à Plasmodium avec pigment malarique)	Placental malaria (chronic intervillositis with malarial pigment/haemozoin)	intervillite chronique histiocytaire avec dépôt de pigment malarique (hémozoïne) et hématies parasitées intervilleuses	espace intervilleux	étiologie identifiée (Plasmodium falciparum), pigment hémozoïne, histiocytaire/monocytaire, dépôts de fibrine intervilleuse augmentés, hématies parasitées et lytiques	diffus, souvent massif (≥ 75 % de l'espace intervilleux atteint)	entite	Infiltrat mononucléé maternel de l'espace intervilleux fait principalement de monocytes/histiocytes (CD68+, CD45+), fréquemment massif (≥ 75 % de l'espace intervilleux), avec dépôts de fibrine intervilleuse augmentés et lésions dégénératives du syncytiotrophoblaste (nœuds syncytiaux). Présence d'hématies maternelles parasitées dans l'espace intervilleux (env. 30 % des cas) et de pigment malarique (hémozoïne) intracytoplasmique dans les macrophages, dans le fibrinoïde ou libre, identifiable en lumière polarisée ; parasites mieux vus sur frottis colorés au Giemsa. Absence de pigment ou de parasite dans le stroma villositaire et la circulation fœtale (le placenta agit comme barrière). Possible thrombose vasculaire fœtale associée ; risque de fausse couche, RCIU et MFIU.	vogel ch9	Histiocytic intervillositis. Numerous histiocytes and macrophages in the intervillous space. Intracellular malaria pigment under polarized light.	Le paludisme placentaire est explicitement documenté dans les extraits (intervillite chronique histiocytaire massive avec hématies parasitées et pigment malarique en lumière polarisée). Aucun terme du vocabulaire ne désigne cette forme étiologique ; « Intervillosite chronique histiocytaire » / « Intervillite chronique massive » désignent la forme idiopathique.
BENIRSCHKE	haute	Placentite à SARS-CoV-2 (nécrose trophoblastique + intervillite histiocytaire + fibrine périvillositaire)	rejetee	non												Aucun des extraits fournis ne mentionne le SARS-CoV-2 ni la triade placentitis associée ; les passages ne documentent que l'intervillite histiocytaire chronique, les dépôts fibrinoïdes périvillositaires et les placentites génériques. L'entité n'est donc pas étayée par le corpus soumis.
BENIRSCHKE	moyenne	Tumeur trophoblastique du site d'implantation (PSTT)	confirmee	oui		Tumeur trophoblastique du site d'implantation (PSTT)	Placental site trophoblastic tumor (PSTT)	néoplasie trophoblastique	site d'implantation (endomètre / myomètre, artères spiralées)	trophoblaste intermédiaire, invasion myométriale dissécante, invasion vasculaire avec remplacement pariétal, index mitotique 2-4/10 HPF, hCG faiblement élevée (<1000 UI/L)	masse focale circonscrite ou mal limitée, croissance infiltrative dissécante	entite	Masse endomyométriale visible macroscopiquement (moyenne ~5 cm), surface de coupe molle, chamois à jaune, hémorragie focale dans la moitié des cas (moins étendue que dans le choriocarcinome), nécrose rare. Histologiquement : nappes densément cellulaires de cellules trophoblastiques intermédiaires mononucléées, cytoplasme amphophile/éosinophile parfois clair, nombre variable de cellules géantes de type trophoblaste intermédiaire ; index mitotique habituellement 2-4/10 HPF ; infiltration du myomètre isolément ou en petits groupes selon un mode dissécant préservant les fibres musculaires (parfois destructif) ; invasion vasculaire caractéristique avec remplacement de la paroi des artères spiralées par le trophoblaste intermédiaire et du matériel fibrinoïde éosinophile formant des « anneaux pâles éosinophiles » avec lumière centrale préservée. Immunophénotype : MelCAM+, inhibine+, p63−, index Mib-1/Ki-67 élevé. Diagnostic différentiel principal : site placentaire exagéré (EPS), bénin, sans formation tumorale, sans activité mitotique et avec villosités souvent présentes.	vogel ch12	PSTT represents a rare neoplastic lesion of the implantation site (Ch. 11) [1,76]. The detailed histogenesis is unclear [96] but, the presence of X-chromosome related infor-mation may be necessary prerequisite as these tumors lack a Y-chromosome	La PSTT est largement documentée dans les extraits (Vogel ch12, Benirschke ch29, Horii ch30) comme entité néoplasique distincte du site d'implantation ; le vocabulaire ne contient que des termes d'anatomie normale ou d'hyperplasie réactionnelle du site d'implantation, aucune entité tumorale trophoblastique du site d'implantation.
BENIRSCHKE	moyenne	Métastases placentaires maternelles (mélanome, carcinome) et fœtales	confirmee	oui		Métastase placentaire (tumeur secondaire d'origine maternelle ou fœtale)	Placental metastasis (secondary tumour of maternal or fetal origin)	métastase tumorale (tumeur secondaire)	espace intervilleux, stroma villositaire, vaisseaux fœtaux villositaires	origine maternelle (mélanome, carcinome mammaire, pulmonaire, leucémie, lymphome), origine fœtale (neuroblastome, leucémie congénitale, hépatoblastome), avec ou sans invasion villositaire / vasculaire fœtale, dépôts nodulaires ou infiltrat diffus	focale nodulaire ou diffuse intervillositaire	entite	Amas lâches ou nodules solides de cellules malignes non vascularisés dans l'espace intervilleux, avec atypie nucléaire variable, parfois pigment cytoplasmique (mélanome) ou nécrose centrale (carcinome mammaire) ; possible mimétisme du trophoblaste extravilleux (intermédiaire) ou d'une intervillite, d'où recours large à l'immunohistochimie (Melan A positif, hCG négatif dans la métastase). L'invasion des villosités choriales et/ou des vaisseaux fœtaux n'est présente que dans une minorité de cas et définit le risque de métastase fœtale (~50 % d'invasion chorionique dans le mélanome). Les métastases d'origine fœtale (neuroblastome, leucémie congénitale, hépatoblastome) siègent dans les capillaires fœtaux villositaires et le stroma des villosités souches et intermédiaires, souvent avec macrosomie placentaire, immaturité villositaire, œdème stromal et hydrops. Macroscopie souvent normale, parfois nodules pâles, fibrine périvillositaire ou infarctus.	vogel ch10	Secondary tumors in the placenta are defined as metastatic tumors originating from a  primary maternal or fetal tumor.	Les extraits documentent explicitement une entité nosologique « secondary tumors in the placenta / metastatic maternal malignancy », définie comme métastase d'un primitif maternel ou fœtal, avec ses sièges (espace intervilleux, stroma villositaire, capillaires fœtaux). Le vocabulaire ne contient que deux descripteurs cytologiques élémentaires (« Cellules anormales dans l'espace intervillositaire », « Cellules tumorales non hématopoïétiques dans la circulation fœtale placentaire »), sans entité de métastase placentaire ni distinction origine maternelle/fœtale.
BENIRSCHKE	moyenne	Triploïdie (phénotype placentaire)	confirmee	oui		Triploïdie — phénotype placentaire	Triploidy — placental phenotype	phénotype placentaire d'anomalie chromosomique (polyploïdie)	villosités choriales et masse placentaire globale	diandrique (dipaternel), digynique (dimaternel), villosités hydropiques focales, inclusions/pseudo-inclusions trophoblastiques, hyperplasie trophoblastique polaire focale, p57kip2 conservé, RCIU fœtal associé, artère ombilicale unique fréquente	diffus avec population villositaire dimorphe (villosités hydropiques mêlées à des villosités de taille normale)	entite	Grossesse triploïde (69,XXX/XXY/XYY) avec deux phénotypes placentaires : forme diandrique (deux jeux paternels) donnant un placenta relativement volumineux avec changements de môle partielle — population villositaire dimorphe, villosités hydropiques à citernes, contours festonnés, inclusions trophoblastiques, hyperplasie trophoblastique focale polaire, p57kip2 conservé (origine maternelle présente) ; forme digynique (deux jeux maternels) donnant un placenta très petit, sans phénotype molaire, avec petites villosités et proliférations trophoblastiques polaires. Fœtus fréquemment hypotrophe et malformé (syndactylie), artère ombilicale unique fréquente. Confirmation par caryotype ou analyse de ploïdie ; noter que toute môle partielle est triploïde, mais toute triploïdie n'a pas de phénotype molaire.	horii2018 ch30	It is important to keep in mind that although all partial moles are triploid, only a portion of triploid gestations demonstrate a molar phenotype.	Les extraits décrivent explicitement un phénotype placentaire propre à la triploïdie, distinct de la môle partielle (formes diandrique à grand placenta molaire vs digynique à petit placenta non molaire), et aucun terme du vocabulaire ne désigne un phénotype placentaire d'anomalie chromosomique.
BENIRSCHKE	moyenne	Mosaïcisme confiné au placenta	confirmee	oui		Mosaïcisme confiné au placenta (CPM)	Confined placental mosaicism (CPM)	mosaïcisme chromosomique (lignée aneuploïde) limité aux tissus placentaires, avec caryotype fœtal euploïde	villosités choriales (cytotrophoblaste principalement), chorion	aneuploïdie confinée au placenta, trisomie 16 la plus fréquente, caryotype fœtal normal, associé au RCIU et aux morts fœtales inexpliquées, diagnostic sur biopsie de villosités choriales / FISH / QF-PCR / aCGH-SNP, peut sous-tendre une disomie uniparentale	focal / en mosaïque (lignées cellulaires juxtaposées, échantillonnage multiple des villosités nécessaire)	entite	Mise en évidence d'une lignée cellulaire aneuploïde (le plus souvent trisomie 16, 13 ou 18) dans le tissu placentaire — de façon caractéristique dans le cytotrophoblaste, sans atteinte du stroma villositaire, du chorion ni de l'amnios — alors que le caryotype fœtal (sang fœtal / chorion contenant un vaisseau fœtal) est euploïde. Discordance affirmée par étude comparative de l'ADN fœtal et placentaire (FISH, QF-PCR, aCGH, SNP array), avec préparations directes sur villosités multiples. Le placenta peut être macroscopiquement et histologiquement normal, mais volontiers hypotrophique ; contexte de RCIU, prééclampsie ou mort fœtale inexpliquée. Environ 10 % des grossesses avec CPM ont néanmoins une anomalie cytogénétique fœtale : le mosaïcisme n'est pas toujours confiné au placenta.	benirschke ch12	In a study of CPM of growth-restricted fetuses and placentas, Wilkins-Haug et al. [303] found it three times more commonly associated with IUGR. All neonates had normal blood karyotypes; their placentas were smaller but not histologically abnormal.	Le mosaïcisme confiné au placenta (CPM) est une entité cytogénétique explicitement nommée et longuement documentée dans Benirschke ch12 (et renvoyée en ch15), et le référentiel BENIRSCHKE la liste parmi les anomalies chromosomiques ; aucun terme du vocabulaire ne désigne une discordance caryotypique placento-fœtale (les seules « discordances » codées sont gémellaires).
BENIRSCHKE	moyenne	Placenta des mucopolysaccharidoses et de la sialidose (vacuolisation lysosomale étiquetée)	confirmee	oui		Placenta des mucopolysaccharidoses et de la sialidose (surcharge lysosomale étiquetée)	Placental changes in mucopolysaccharidoses and sialidosis (labelled lysosomal storage)	surcharge lysosomale avec vacuolisation cytoplasmique claire à contenu membrane-bound	cellules de Hofbauer, syncytiotrophoblaste, endothélium villositaire, trophoblaste extravilleux et épithélium amniotique	mucopolysaccharidose (MPS I, IV/Morquio, VI, VII/Sly), sialidose / maladie de surcharge en acide sialique (Salla), vacuoles claires membranaires, anasarque fœto-placentaire, RCIU, confirmation par microscopie électronique / PAS	diffus, homogène sur l'ensemble des villosités	entite	Placenta souvent pâle et volumineux, associé à un hydrops fœtal ou un RCIU. Vacuolisation cytoplasmique diffuse : dans les MPS, vacuolisation des cellules de Hofbauer avec œdème villositaire (MPS IV, VII), le trophoblaste étant souvent épargné ; dans la sialidose / surcharge en acide sialique, vacuolisation conjointe du syncytium, des cellules de Hofbauer, de l'endothélium, du trophoblaste extravilleux et de l'épithélium amniotique, avec vacuoles claires limitées par une membrane contenant un matériel amorphe et fibrillaire. PAS et/ou imprégnation argentique utiles ; microscopie électronique montrant des lysosomes élargis ; orientation vers l'analyse génique (GUSB, GALNS/GLB1, SLC17A5, NEU1).	benirschke ch24	Fig. 24.3  Vacuolation of the placental Hofbauer cells in a case of mucopolysaccharidosis (MPS) VII Fig. 24.4  Sialic acid storage disease: the Hofbauer cells, endothelium, and syncytium are packed with clear, membrane-bound vacuoles	Les extraits documentent explicitement une expression placentaire propre aux mucopolysaccharidoses (MPS IV, VII) et à la sialidose / maladie de surcharge en acide sialique, avec sites de vacuolisation caractéristiques. Le vocabulaire ne contient que des éléments descriptifs par compartiment (vacuolisation du syncytiotrophoblaste, des cellules de Hofbauer, produits de surcharge) et une seule entité étiquetée (Gaucher), sans entité nommée pour ces surcharges.
BENIRSCHKE	basse	Nodules de Langhans (plaque choriale, anatomie normale)	rejetee	non												Les extraits ne mentionnent que la couche fibrinoïde sous-choriale de Langhans (Langhans-Fibrinoid) et la couche cytotrophoblastique de Langhans (Langhans' layer) ; aucun « nodule de Langhans » n'y figure comme repère anatomique. Le terme est un artefact de dénomination, non une entité nosologique étayée.
GEMELLAIRE	haute	Syndrome transfuseur-transfusé (STT/TTTS) — entité diagnostique	confirmee	oui		Syndrome transfuseur-transfusé (STT/TTTS)	Twin-to-twin transfusion syndrome (TTTS)	transfusion sanguine déséquilibrée inter-fœtale par anastomoses vasculaires placentaires	placenta monochorionique (plaque choriale et anastomoses profondes intercotylédonaires)	aigu, chronique, jumeau donneur, jumeau receveur, stades de Quintero I-V	discordant entre les deux territoires placentaires (dichotomie donneur/receveur)	entite	Placenta monochorionique avec anastomoses vasculaires, le plus souvent artério-veineuses profondes (parfois A-A, rarement V-V sur la plaque choriale). Forme chronique : discordance pondérale des jumeaux > 15 %, polyhydramnios d'un côté / oligoamnios de l'autre, différence d'hémoglobine/hématocrite fœtale, territoire receveur congestif (cordon épais, tranche gris-rouge, chorangiose de type II, maturation villositaire mature/prématurée) et territoire donneur pâle (cordon grêle, arrêt ou retard de maturation villositaire, fibrose stromale, pycnose nucléaire et nœuds syncytiaux, dépôt microfibrineux intervilleux). Forme aiguë (< 5 % des syndromes transfusionnels) : shunt direct artériel ou veineux superficiel de la plaque choriale, placenta receveur rouge sombre et placenta/fœtus donneur pâle anémique, jumeaux de taille quasi identique, diagnostic par différentiel d'hémoglobine/hématocrite au sang du cordon.	vogel ch13	Twin-to-twin transfusion syndrome (TTTS) describes an exchange of blood from one  fetus to the other via placental vessel anastomoses.	Le vocabulaire ne comporte que des éléments microscopiques qualifiés « TTTS » (capillaires congestifs/vides) et le pattern TAPS ; l'entité chapeau syndrome transfuseur-transfusé, largement documentée au chapitre 13 de Vogel & Turowski et relevant du référentiel GEMELLAIRE, est absente.
GEMELLAIRE	haute	Stades I à V de Quintero (gradation du TTTS)	rejetee	non												Les stades I à V de Quintero constituent une stadification clinique anténatale échographique (oligo/polyhydramnios, Doppler, hydrops, décès) et non une lésion ni un phénotype identifiable sur l'examen placentaire ; les extraits ne la mentionnent qu'à titre bibliographique et en discutant sa faible valeur discriminante, sans aucun critère morphologique placentaire. Le vocabulaire, qui décrit des lésions et structures observables, n'a pas à l'intégrer (les corrélats placentaires du TTTS y sont déjà représentés : anastomoses A-A/A-V/V-V, discordance de coloration, capillaires congestifs/vides, TAPS).
GEMELLAIRE	haute	Stadification TAPS (Slaghekke) : stades anténatals 1-5 et stades post-nataux 1-4 fondés sur le ratio de diamètre des anastomoses	rejetee	non												"Les extraits documentent les critères diagnostiques de la TAPS (discordance d'hémoglobine > 8 g/dL, ratio de réticulocytes > 1,7, anastomoses de petit calibre < 1 mm, différence de couleur), mais ne décrivent aucun système de stadification en 5 stades anténatals / 4 stades post-nataux, et le ""ratio de diamètre des anastomoses"" n'est étayé nulle part (le ratio cité est celui des réticulocytes). La référence Slaghekke 2010 n'apparaît que dans la bibliographie, sans contenu. De plus une échelle de stadification clinico-échographique n'est pas une entité lésionnelle codable en pathologie placentaire ; l'aspect placentaire est déjà couvert par « Séquence anémie-polycythémie gémellaire (TAPS) — aspect placentaire »."
GEMELLAIRE	haute	Jumeau acardiaque / séquence TRAP (twin reversed arterial perfusion)	confirmee	oui		Jumeau acardiaque — séquence TRAP (perfusion artérielle inversée)	Acardiac twin — twin reversed arterial perfusion (TRAP) sequence	perfusion artérielle inversée d'un jumeau acardiaque par anastomoses superficielles artério-artérielle et veino-veineuse	placenta monochorionique — plaque choriale et anastomoses vasculaires interfœtales	monochorionique, monozygote, anastomose artério-artérielle, anastomose veino-veineuse, acardius, hemiacardius	territoire placentaire du jumeau acardiaque, souvent hypoplasique, avec insertions cordonales rapprochées	entite	Jumeau à cœur absent ou incomplètement développé (acardius, hemiacardius/acardius anceps), quasi exclusivement en grossesse monozygote monochorionique (~1 % des grossesses monochoriales). Le placenta comporte obligatoirement une anastomose artério-artérielle amenant le sang du co-jumeau normal à l'acardiaque et une anastomose veino-veineuse le ramenant : le flux est inversé (TRAP). Placentation DiMo ou MoMo ; amnion nodosum fréquent dans la cavité de l'acardiaque du fait de l'absence de production urinaire ; anomalies associées fréquentes (artère ombilicale unique, omphalocèle) ; insertions cordonales rapprochées ; risque d'enchevêtrement des cordons.	benirschke ch18	An acardiac twin is only possible due to the  presence of two anastomoses in the monochorionic placenta.  An A-A anastomosis brings blood from a usually normal co-­ twin to the acardiac twin; and a V-V anastomosis returns the  blood.	Les extraits de Benirschke ch18 et Vogel ch13 décrivent explicitement l'acardius et la séquence TRAP (perfusion artérielle inversée via anastomoses A-A et V-V d'un placenta monochorionique) ; aucun terme du vocabulaire ne désigne cette entité, seuls existent des termes d'anastomoses isolées et le fœtus papyraceus.
GEMELLAIRE	haute	Transfusion fœto-fœtale aiguë (péri-partum, jumeau pâle / jumeau pléthorique)	confirmee	oui		Transfusion fœto-fœtale aiguë (péri-partum)	Acute twin-to-twin transfusion (peripartum)	transfusion volémique aiguë inter-gémellaire par shunt superficiel	placenta monochorionique — anastomoses de la plaque choriale et territoires villositaires des deux jumeaux	aiguë, péri-partum, monochorionique, jumeau donneur pâle, jumeau receveur pléthorique	discordance nette entre les deux territoires placentaires (un territoire rouge sombre congestif, l'autre pâle anémique), sans discordance de croissance	entite	Placenta monochorionique avec anastomose superficielle directe artério-artérielle (A-A) et/ou veino-veineuse (V-V) sur la plaque choriale, souvent associée à des anastomoses villositaires profondes. Territoire du receveur rouge sombre, congestif (capillaires villositaires distendus) ; territoire du donneur pâle rouge/anémique. Fœtus de taille quasi identique (absence de discordance pondérale et d'hypotrophie chronique, contrairement au TTTS chronique), receveur congestif. Déclenchement par hypoxie/choc intra-utérin aigu ou, au moment de l'accouchement, transfusion du jumeau non encore né vers le jumeau né. Différence inexpliquée d'hémoglobine/hématocrite au sang de cordon, sans réticulocytose du donneur ni anastomoses minuscules <1 mm (qui orientent vers un TAPS).	vogel ch13	Acute TTTS is seen in the prenatal period and characterized by an acute intrauterine  transfer of blood volume from one twin (donor) to the other (recipient, acceptor). It is  reported to occur in less than 5 % of transfusion syndromes.	Les extraits de Vogel ch13 décrivent explicitement la transfusion fœto-fœtale aiguë comme entité distincte du TTTS chronique et du TAPS, avec critères macroscopiques propres ; le vocabulaire ne contient que des signes isolés non spécifiques (discordance de coloration, pléthore, pâleur villositaire) et aucune entité correspondante.
GEMELLAIRE	moyenne	Partage placentaire inégal / discordance de territoire placentaire entre jumeaux (Lewi, Khalil)	confirmee	oui		Partage placentaire inégal entre jumeaux (discordance de territoire placentaire)	Unequal placental sharing between twins (discordant placental territory)	Répartition asymétrique du territoire parenchymateux entre les deux jumeaux	Parenchyme placentaire — territoires vasculaires respectifs de chaque jumeau, de part et d'autre de l'équateur vasculaire	grossesse gémellaire, monochorionique, dichorionique, RCIU sélectif (sFGR), associé au TTTS, associé à l'insertion vélamenteuse ou marginale du cordon	discordant / asymétrique entre les deux territoires placentaires	entite	Après repérage de l'équateur vasculaire (anastomoses de surface, injection éventuelle) et de l'insertion des deux cordons, délimitation puis mesure comparative des deux territoires (surface et/ou poids parenchymateux attribué à chaque jumeau) : le partage est dit inégal lorsqu'un jumeau dispose d'un territoire nettement plus petit, ce dernier étant fréquemment associé à une insertion vélamenteuse ou marginale du cordon, alors que le jumeau eutrophique a un territoire plus large et une insertion (para-)centrale. La délimitation peut être imparfaite, des îlots parenchymateux d'un jumeau siégeant dans le territoire de l'autre (anastomoses profondes intracotylédonaires). Le territoire du petit jumeau montre souvent une hypoplasie villositaire distale et un placenta relativement sous-pondéré. En monochorionique, le degré de discordance de partage entre en compte dans la typologie de Gratacos du RCIU sélectif (types I à III, corrélée à la taille des anastomoses artério-artérielles).	benirschke ch32	sFGR in a monochorionic twin pregnancy results primarily from unequal placental sharing. Typically, the growth restricted fetus often has a small placental share and a velamentous cord	Le partage placentaire inégal est explicitement documenté dans le corpus (Benirschke ch32, ch18 ; Vogel ch13) comme déterminant principal du RCIU sélectif en monochorionique et comme association du TTTS. Aucun terme du vocabulaire n'exprime la discordance de territoire/surface placentaire entre jumeaux ; « Cotylédon partagé », « Équateur vasculaire placentaire » et « Discordance de coloration du parenchyme » désignent d'autres réalités.
GEMELLAIRE	moyenne	RCIU sélectif du jumeau monochorionique (sIUGR, types I-III de Gratacós)	confirmee	oui		RCIU sélectif du jumeau monochorionique (types I-III de Gratacós)	Selective intrauterine growth restriction in monochorionic twins (Gratacós types I–III)	restriction de croissance sélective par partage placentaire inégal	placenta monochorionique — territoires villositaires des deux jumeaux, insertion cordonale et anastomoses de l'équateur vasculaire	monochorionique, sélectif, partage placentaire inégal, anastomose artério-artérielle de gros calibre, types I-III de Gratacós, iAREDF	discordant entre les deux territoires du même disque placentaire	entite	Grossesse monochorionique avec discordance pondérale marquée, le jumeau le plus petit étant en restriction de croissance ; typage selon le Doppler de l'artère ombilicale du petit jumeau : type I flux diastolique positif, type II flux diastolique absent/inversé permanent, type III flux diastolique absent ou inversé intermittent (iAREDF). Substrat placentaire : partage inégal du disque avec territoire réduit pour le jumeau restreint, insertion cordonale souvent marginale ou vélamenteuse, morphologie de capacité de perfusion restreinte ; le type III est lié à la présence d'une (ou de) volumineuse(s) anastomose(s) artério-artérielle(s) à flux bidirectionnel périodique, à rechercher sur l'équateur vasculaire.	benirschke ch32	A classi- fication system for selective intrauterine growth restriction in monochorionic pregnancies according to umbilical artery Doppler flow in the smaller twin.	Le corpus documente explicitement la restriction de croissance intra-utérine sélective des jumeaux monochorioniques et la classification de Gratacós fondée sur le Doppler de l'artère ombilicale du plus petit jumeau, avec son substrat placentaire (grosses anastomoses artério-artérielles). Aucun terme du vocabulaire ne désigne cette entité gémellaire : TTTS, TAPS, discordance de coloration ou de maturité et les anastomoses isolées en sont distincts.
GEMELLAIRE	moyenne	Enchevêtrement / nœud des cordons ombilicaux (jumeaux monoamniotiques)	confirmee	oui		Enchevêtrement / nœud des cordons ombilicaux (jumeaux monoamniotiques)	Umbilical cord entanglement / knotting (monoamniotic twins)	enchevêtrement et nouage des cordons avec obstruction circulatoire fœtale	cordons ombilicaux, cavité amniotique commune	grossesse monochorionique monoamniotique, nœud vrai, obstruction veineuse, mort fœtale in utero	inter-cordons, focal au niveau du/des nœuds	entite	Placenta monochorionique monoamniotique (absence de membrane de séparation) avec les deux cordons enchevêtrés l'un autour de l'autre, souvent noués (nœuds vrais uniques ou multiples). Signes d'obstruction chronique : amincissement du cordon en aval, congestion/thromboses des veines de surface placentaire (parfois calcifiées), et selon le cas macération d'un ou des deux fœtus. La proximité des insertions funiculaires n'est pas déterminante ; un enchevêtrement extensif peut exister sans compromission circulatoire à terme.	benirschke ch18	Rodis et al. [641] managed three sets of twins successfully despite their severely knotted cords; they also made suggestions for management.	L'enchevêtrement et le nouage des cordons entre jumeaux monoamniotiques sont abondamment documentés (Benirschke ch16 et ch18, Vogel ch3) comme cause majeure de mortalité périnatale du MoMo ; aucun terme du vocabulaire ne désigne cette lésion inter-cordons (les termes existants portent sur l'architecture MoMo, le cordon bifurqué, la torsion/coarctation d'un cordon unique).
GEMELLAIRE	basse	Détermination de la chorionicité sur la membrane de séparation — nombre de couches / présence de trophoblaste interposé (critère diagnostique)	deja_couverte	oui	Membrane de séparation gémellaire DiDi (coupe histologique)									benirschke ch1	The dividing membranes of DiMo placentas, in contrast, are transparent consisting only of amnion.	Le critère histologique invoqué (nombre de couches, chorion/trophoblaste interposé entre les deux amnios) est précisément la définition des termes déjà présents « Membrane de séparation gémellaire DiDi (coupe histologique) » et « Membrane de séparation gémellaire DiMo (coupe histologique) » (ainsi que leurs synonymes bichoriale-biamniote / monochoriale-diamniote). Il s'agit d'un critère diagnostique de ces structures, non d'une entité distincte à créer.
REDLINE	haute	MIR grade 2 — réponse inflammatoire maternelle sévère (polynucléaires confluents, ≥ 3 foyers)	doublon	oui		MIR Grade 2 — réponse inflammatoire maternelle sévère	MIR Grade 2 — severe maternal inflammatory response	inflammation aiguë sévère confluente (polynucléaires neutrophiles)	membranes chorioamniotiques et zone sous-choriale de la plaque choriale	sévère, confluent, microabcès sous-choriaux, grade 2, réponse maternelle	confluent, plurifocal à diffus	pattern	Gradation (intensité) de la réponse inflammatoire maternelle, indépendante du stade : grade 2 = infiltrat de polynucléaires neutrophiles confluents, et/ou présence de microabcès sous-choriaux (≥ 3 foyers selon la gradation de Redline). Se distingue du grade 1, défini par défaut comme « non sévère ». Correspond histologiquement à un infiltrat dense occupant toute l'épaisseur du chorion et de l'amnios, éventuellement associé à une nécrose du stroma amniotique.	amsterdam ch1	Grade 2—severe: confluent polymorphonuclear leukocytes or with subchorionic microabscesses	Doublon inter-référentiel de la ligne 10 (AMSTERDAM). Amsterdam définit lui-même cette gradation ; REDLINE ne se cite que pour une gradation qu'Amsterdam ne définit pas. Une seule entité à insérer.
REDLINE	moyenne	Microabcès sous-chorionique (critère de sévérité du MIR grade 2)	doublon	oui		Microabcès sous-chorionique (MIR grade 2)	Subchorionic microabscess (maternal inflammatory response grade 2)	Microabcès (collection focale confluente de polynucléaires neutrophiles)	Espace sous-chorial / fibrine sous-choriale de la plaque choriale	aigu, sévère, grade 2 de la réponse inflammatoire maternelle, neutrophilique	focal à multifocal	element	Accumulation focale dense et confluente de polynucléaires neutrophiles formant un abcès dans la fibrine sous-choriale / à la face maternelle de la plaque choriale, dans le cadre d'une inflammation aiguë ascendante. Sa présence, à elle seule ou avec des polynucléaires confluents, suffit à qualifier la réponse inflammatoire maternelle de grade 2 (sévère), quel que soit le stade (1 à 3). À distinguer de l'abcès décidual, des microabcès intervillositaires de la listériose et des microabcès sous-amniotiques du cordon de la candidose.	amsterdam ch1	Grade 2—severe: confluent polymorphonuclear leukocytes or with subchorionic microabscesses	Doublon inter-référentiel de la ligne 12 (AMSTERDAM). Amsterdam définit lui-même cette gradation ; REDLINE ne se cite que pour une gradation qu'Amsterdam ne définit pas. Une seule entité à insérer.
REDLINE	moyenne	VUE haut grade — variante multifocale (patchy) vs variante diffuse	deja_couverte	oui	FOETO:PP.PAR-VAS-023 (VUE High grade)	VUE haut grade — distribution patchy (multifocale) vs diffuse	High-grade VUE — patchy versus diffuse pattern	villite chronique d'étiologie indéterminée de haut grade	villosités distales (intermédiaires et terminales), parenchyme villositaire	haut grade, patchy / multifocal, diffus, ≥ 10 villosités contiguës, > 30 % des villosités distales	multifocal (patchy) ou diffus	pattern	Après avoir établi le haut grade (au moins un foyer de ≥ 10 villosités contiguës atteintes), préciser la distribution : variante patchy = foyers multiples, dont au moins un de ≥ 10 villosités contiguës, sur une ou plusieurs lames ; variante diffuse = plus de 30 % de l'ensemble des villosités distales atteintes. Un foyer unique de ≥ 10 villosités atteintes est rapporté comme « ungradable – possible high grade ». La distribution (parabasale/paraseptale, mi-parenchymateuse aléatoire, sous-choriale) et l'existence d'une oblitération vasculaire des villosités tronculaires doivent être documentées ; la variante de haut grade est corrélée au RCIU, à la MFIU et au risque de récidive (≈ 25 %, avec aggravation du grade aux grossesses suivantes).	amsterdam ch1	High-grade lesions should be further classiﬁed as patchy when there are multiple foci, with at least one focus with 10 or more contiguous villi, and seen in one or more slides; or as diffuse when more than 30% of all distal villi are involved.	La distribution patchy vs diffuse est une facette du haut grade, pas une entité distincte. À porter en qualifieur sur le terme existant.
REDLINE	moyenne	VUE bas grade — variante focale vs variante multifocale	deja_couverte	oui	VUE Low grade									amsterdam ch1	as multifocal when they are present in more than one slide, all foci affecting fewer than 10 contiguous villi.	Les extraits confirment bien la sous-classification focale/multifocale, mais celle-ci est un simple qualificatif de distribution interne à la gradation bas grade (déjà défini par l'exigence de plus d'un foyer), et non une entité nosologique distincte ; « VUE Low grade » la couvre, la formulation « focale vs multifocale » désignant d'ailleurs deux variantes et non une entité unique.
